矿泉水 是否 含有 有机物 ,矿泉水 含有 有机物 吗 ? ,3.0
某 沿海 城市 a 接到 台风 警报 ,"如图所示 , 某 沿海 城市 A 接到 台风 警报 , 在 该市 正南 方向 150km 的 B 处有 一 台风 中心 某 沿海 城市 A 接到 台风 警报 ， 在 该市 正南 方向 150km 的 B 处有 一 台风 中心 正以 20km / h 的 速度 向 BC 方向 移动 ， ",2.0
司马光 曾 说 : “ 中户 以下 大抵 乏食 ,（ 15 分 ） 【 历史 — 历史 上 重大 改革 回眸 】 王安石 变法 及其 结局 留给 后人 许多 教训 。 阅读 下列 材料 ， 回答 问题 。 材料 一 （ 司马光 说 ） 中户 以下 大抵 乏食 … … 而州县 之吏 ， 督迫 青苗 、 助役 钱 ， 不敢 ,2.0
桃花心木 对于 树 的 不 确定 是 指 ,《 桃花心木 》 中 不 确定 指 什么 对于 树 来说 ： “ 不 确定 ” 指 的 是 ； 对于 人 来说 ， “ 不 确定 ” 指 的 是 。 树要 学会 在 “ 不 确定 ” 中 ； 而 人 要 在 “ 不 确定 ,3.0
溴水 与 四氯化碳 互溶 吗 ,"甲苯 为什么 能 萃取 溴水 而 使 其 退色 , 却 因 与 溴 的 四氯化碳 溶液 互溶 而 不 使 其 褪色 ? ",1.0
低碳 消费 方式 体现 人们 ,阅读 下文 ， 完成 文后 各题 。 论低 碳 消费 方式 “ 低碳 经济 ” 是 全球 经济 发展 的 最佳 模式 之一 ， 低碳 消费 方式 是 其 重要环节 。 低碳 消费 方式 是 人类 社会 发展 过程 中 的 根本 要求 ， 是 低 碳 经济 发展 的 必然选择 ,2.0
"消费者 收入 下降 , 对 某 商品 需求 增加 ","微经 习题 1 ． （ 25 分 ） 下列 每个 事件 都 会 对 自行车 市场 产生 影响 . 请 详细分析 影响 （ 供给 （ 量 ） 还是 需求 （ 量 ） ） 的 效果 , 均衡 数量 以及 均衡 价格 . ( 1 ) 汽车 价格 上升 ； （ 2 ",1.0
圆锥形 容器 中 装有 5 升水 ,"一个 圆锥形 容器 中 装有 2 升水 （ 底面 装水 ） , 水面 的 高度 正好 是 圆锥 的 1 / 2 . 这个 圆锥形 容器 还 能装 多少 升水 ? ",2.0
二四 是 人体 部位 的 成语 。 ,一定 要 二四 是 人体器官 的 成语 ,2.0
一个 佛陀 在 旅途 中 立意 ,"帮 我 写 一篇 作文 一个 佛陀 在 旅途 中 , 碰到 一个 不 喜欢 他 的 人 . 连续 好 几天 , 好长 的 一段路 , 哪人 用尽 各种 方法 玷污 佛陀 . 最后 , 佛陀 转身 问 哪个 人 ： “ 若 有人 送 你 礼物 , 但 你 ",2.0
从 画线 句子 中 你 读出 了 什么 ,"燃烧 的 月亮   品读 第一 自然段 中 画线 的 句子 , 你 发现 了 什么 , 读出 了 什么 ",3.0
汤敦甫 在 京师 阅读 答案 ,阅读 下面 一篇 文章 ， 完成 后面 的 题目   。 汤敦甫 在 京师 ， 乘车 过 宣武门 大街 ， 有 卖菜 翁弛 担坐 ， 御者 误触 之 ， 菜 倾于 地 。 翁 捽 ① 其 御者 ， 詈 ② 且 殴 ， 索偿 菜值 。 公启 帘 问 曰 ,2.0
名称 或 名声 与 实际 相符 ,名称 或 名声 与 实际 相符 的 成语 ,2.0
"汽车 突然 启动 时 乘客 会 向 后 倾倒 , 是因为 乘客 受到 惯性 的 作用 ","惯性 的 定义 ① 汽车 突然 启动 时 乘客 会 向 后 倾倒 , 是因为 乘客 受到 惯性 的 作用 . ② 运动员 跳离 跳板 后 仍然 向上 运动 , 是因为 受到 惯性 的 作用 . 这 两句话 为什么 不 对 ? 难道 不是 由于 惯性 造成 的 吗 ? ",2.0
"在 高山 上 煮饭 煮 不熟 , 可 采取 ","开水 常常 和 "" 烫手 "" 联系 在 一起 , 这是 由于 在 通常 情况 下 开水 的 温度 高达 100 ℃ , 远比 皮肤 的 温度 高 . 但是 , ① 在 高山 上 煮饭 常常 煮 不熟 , ② 在 几万米 的 高空 , 开水 却 比 地面 上 ",1.0
邻 补角 是 互补 的 角 是 真 命题 吗 ,"邻 补角 是 互补 的 角 . 是 真 命题 吗 ? 我 认为 是 , ",3.0
长为 4m 的 梯子 搭 在 墙上 与 地面 成 45 ,  如图 ， 长为 4m 的 梯子 搭 在 墙上 与 地面 成 60 ° 角 ， 则 梯子 的 顶端 离 地面 的 高度 为 m （ 结果 保留 根号 ） ． ,2.0
氮 最高价 氧化物 水化物 ,"氮 的 最高价 氧化物 的 化学式 为什么 不能 是 硝酸 , 对应 的 水化物 与 最高价 氧化物 有 什么 区别 ",1.0
"中南半岛 的 河流 走向 , 自 什么 向 什么 ",中南半岛 的 河流 走向 和 山脉 走向 有 什么 关系 ? & nbsp ; ,1.0
假定 某 消费者 的 效用函数 为 ux1x2 ,"假定 某 消费者 的 效用函数 位 U = XY4 , 他会 把 收入 的 多少 用于 Y 商品 上 ? ",1.0
小溪 边长 着 两棵 棕榈树 ,"11 世纪 的 一位 阿拉伯 数学家 曾 提出 一个 “ 鸟儿 捉鱼 ” 的 问题 “ 小溪 边长 着 两棵 棕榈树 , 恰好 隔岸 相望 . 一棵树 高是 30 肘尺 （ 肘尺 是 古代 的 长度 单位 ） , 另外 一棵 高 20 肘尺 ； 两棵 棕榈树 的 树干 间 的 ",2.0
"材料 一 : 科第 之设 , 草泽 望 之 起 ","隋唐 时期 创建 并 逐步完善 的 科举制 的 积极 和 消极影响 科第 之设 , 草泽 望 之 起家 , 簪 绂 望 之 继世 . 孤寒 失之 , 族 绥 矣 ； 世禄失 之 , 其族绝 矣 ",2.0
沉底 的 物体 受不受 浮力 ,"沉底 的 东西 受不受 浮力 ? 比如说 一个 铁块 沉在 杯底 , 它 受 不受 浮力 ? ",3.0
某 零件 如下 图 所示 圆柱 和 圆锥 的 底面 直径 分别 是 六 厘米 和 十二 厘米 高 分别 是 三厘米 和 六 厘米 求 这个 零件 的 体积 ,"某 零件 如下 图 所示 , 圆柱 和 圆锥 的 底面 直径 分别 是 6 厘米 和 12 厘米 , 高 分别 是 3 厘米 和 6 厘米 . 求 这个 零件 的 体积 上面 一个 圆柱 ， 下面 一个 圆锥 ",3.0
孔子 和 苏格拉底 的 思想 主张 有何 相同 ,孔子 和 苏格拉底 的 思想 主张 相同点 ,3.0
课文 中 两次 出现 我们 在 ,"21 掌声   掌声 这篇 课文 写 到 了 两次 掌声 , ",1.0
10 件产品 中有 3 件 次品 最后 取 ,"10 件产品 中 3 件 次品 , 任取 2 件 , 其中 一次 是 次品 , 求 另 一件 也 是 次品 的 概率 ",2.0
太阳 花 给予 的 启迪 无疑 是 有益 的 这个 有益 的 启迪 是 什么 ,文章 的 结尾 说 ， “ 太阳 花 给予 的 启迪 ， 无疑 是 有益 的 。 ” 这个 “ 有益 的 启迪 ” 是 什么 ？ 7 年纪 的 作业 . 名字 叫 ： 生机勃勃 的 太阳 试卷 上 的 ,3.0
运用 金属钠 的 什么 性质 ,金属钠 有 哪些 性质 呢 ? ,1.0
康熙 间 曹练亭 为 江宁 织造 阅读 答案 ,"阅读 《 每出 必携书 》 , 康熙 间 , 曹练亭 为 江宁 织造 , 每出 , 拥八 驺 , 必携书 一本 , 观玩 不辍 . 人问 : “ 公何 好学 ? ” 曰 : “ 非 也 . 我非 地方官 , 而 百姓 见 我 必 起立 , 我心 不安 , ",2.0
予尝求 古 仁人 之心 或 异 二者 之 为 ,予尝求 古 仁人 之心 或   异 二者 之 为   意思 ,2.0
臭氧层 被 氟利昂 破坏 主要 因为 ,甲烷 气体 破坏 臭氧层 吗 除了 氟利昂 有 什么 物质 可以 破坏 臭氧层 ,1.0
72 和 27 的 最大 公因数 和 最小 公倍数 ,3   5   的 最大 公因数 和 最小 公倍数   8   7   的 最大 公因数 和 最小 公倍数   9   27 的 最大 公因数 和 最小 公倍数 ,1.0
河西走廊 的 月亮 阅读 答案 ,河西走廊 的 月亮   阅读 文中 第三 、 七段 加点 词语 都 用 得 非常 精妙 ， 请 你 点评 其 精妙 之 处 。 ( 1 ) “ 吞噬 ” ： ( 2 ) “ 翻动 ” ： ,2.0
两个 顾客 买 走 其中 的 五箱 ,商店 有 6 箱 货物 分别 重 15   16   18   19   20   31 千克   两个 顾客 买 了 其中 5 箱 . 已知 一个 顾客 商店 有 6 箱 货物 分别 重 15   16   18   19   20   31 千克   ,2.0
"倚 承 中华文化 , 共筑 精神家园 ","在 括号 内填上 合适 的 成语 一个 无魂 的 民族 , 就 会 成为 (   ) . 中华文化 亘古亘今 、 （   ） , 是 中华民族 共有 的 精神家园 . ",1.0
生产力 与 生产关系 的 矛盾 ,为什么 科学 生产力 和 生产关系 的 矛盾 是 人类 社会 发展 的 基本矛盾 ? 是 哲学 的 ,2.0
等 夏天 等 秋天 等 下个 季节 ,春天 是 （   ） 的 季节   夏天 是 （   ） 的 季节   秋天 是 （   ） 的 季节   冬天 是 （   ） 的 季节 ,1.0
某 旅游景点 的 门票价格 为 20 ,"某 风景区 对 5 个 旅游景点 的 门票价格 进行 了 调整 , 据统计 , 调价 前后 各 景点 的 游客 人数 基本 不变 ． 有关 数据 如下 表 ",1.0
小明 买 了 若干支 10 元 和 15 元 的 笔 ,"小明 买 了 若干支 10 元 和 15 元 的 笔 , 共 花费 90 元 , 这 两种 笔 的 数量 可能 相差 多少 支 ? （ 用 二元 一次 方程组 解答 ） ",2.0
文中 写 壶口 的 两个 传说 的 作用 ,奇伟 壮丽 一 壶口 在 山西 晋南 ， 除了 运城 的 关帝庙 ， 永济 的 莺 莺 塔 之外 ， 还有 一处 中外 闻名 的 自然风景 胜地 ， 这 便是 奇伟 壮观 的 黄河 壶口 。 滔滔 的 黄河水 自北 从 数百米 宽 的 河床 排山倒海 般地 直逼 而 来 ， ,3.0
微生物 生长 阶段 与 污水 生物 处理 ,不同 生长 阶段 的 细菌 有何 特征 ? 控制 微生物 生长 阶段 在 活性污泥 法 污水处理 上 有 什么 意义 ? ,1.0
"把 底面 直径 6 厘米 , 长 6 厘米 的 圆柱形 木料 做成 一个 最大 的 圆锥 , 应切 去 木料 多少 立方厘米 ","把 底面 直径 为 6cm , 长为 6cm 的 圆柱形 木料 做成 一个 最大 的 圆锥 , 应切 去 木料 多少 立方厘米 ? 要 列式 ",3.0
生态系统 的 主要 成分 是 ,生态系统 四个 主要 成分 ? ,3.0
端午节 是 为了 纪念 哪位 诗人 ,端午节 划 龙舟 、 吃 粽子 的 民俗 ， 是 为了 纪念 下列 哪位 人物 的 （ ）   A ． 李冰 B ． 屈原 C ． 黄帝 D ． 商鞅 ,3.0
如图所示 的 四种 情景 中 ,如图所示 的 四种 情景 中 ， 人 对 物体 做功 的 是 （   ） ,2.0
暴露 、 挺进 、 璀璨 、 黑暗 、 漆黑 的 反义词 ,作业 、 急需   答案 ! 作业 ： 一 ： 组词 ： 纤 （ ） 倚 （ ） 屉 （ ） 哼 （ ）   二 ： 写 反义词 ： 宽阔 （ ）   暴露 （ ）   挺进 （ ）   璀璨 （ ）   黑暗 （ ）   漆黑 ,3.0
胰岛素 能够 抑制 胰 高血糖素 ,（ 生物 知识 ） 胰 高血糖素 为什么 促进 胰岛素 ? 为什么 胰岛素 却 抑制 胰 高血糖素 呢 ? ,1.0
专制主义 中央集权 制度 产生 的 主要 影响 ,专制主义 中央集权 制度 的 影响 . ,3.0
"谁 有 什么 发明 , 受到 什么 启发 ",什么 发明 是 受到 动物 的 启发 ,1.0
"圆柱型 容器 中 , 高为 1.2 m ","如图 , 圆柱形 容器 中 , 高为 1.2 m , 底面 周长 为 1m , 在 容器 内壁 离 容器 底部 0.3 m 的 点 B 处有 一只 蚊子 , 此时 一只 壁虎 正 ",2.0
用长 3cm 宽 2.5 cm 邮票 30 枚 ,"用 30 枚 长 3cm , 宽 2.5 cm 的 邮票 摆 成 一个 正方形 , 则 这个 正方形 的 边长 是 多少 ? 请问 有 谁 会 这题 ? ",2.0
商店 运回 一批 本子 按 获利 20% 定价 当 按 定价 出售 了 60% 后 为了 尽快 出售 完 剩下 的 打折 出售 最低 打整 几折 出售 才能 不 亏本 且 有 微利 ,"商店 运回 一批 本子 , 按 获利 百分之 20 定价 , 当 按 定价 出货 了 百分之 60 后 , 为了 尽快 出货 完 , 剩下 的 打折 出货 . 最低 打整 几折 出售 , 才能 不 亏本 且 有 微利 ",3.0
改革 是 中国 的 第二次 革命 ,结合 中国 改革 的 实例 说明 “ 改革 是 中国 的 第二次 革命 ” ,2.0
常见 金属 晶体 的 晶胞 堆积 方式 ,金属 晶体 中 金属 原子 有 三种 常见 的 堆积 方式 ， 六方 堆积 （ 镁 型 ） 、 面心 立方 堆积 （ 铜型 ） 和 体心 立方 堆积 （ 钾型 ） ， 图 （ a ） ， （ b ） ， （ c ） 分别 代表 这 三种 晶胞 的 ,2.0
数轴 上 的 点 与 什么 一一对应 ,和 数轴 上 的 点 是 一一对应 的 . ,3.0
直角三角形 斜边 上 的 中线 ,证明 直角三角形 的 中线 是 斜边 的 一半 ,1.0
一个 物体 以 初速度 v0 水平 抛出 ,一个 物体 以 初速度 大小 为 v0 水平 抛出 ， 落地 时 速度 大小 为 v ， 那么 物体 的 运动 时间 为 ： A ． （ v — v0 ） / gB ． （ v + v0 ） / gC ． / gD ． / g ,2.0
有个 教授 做过 一个 实验 几年 前 他 要求 他 的 学生 进入 一个 宽敞 的 大礼堂 并 自由 找 座位 坐下 反复 几次 后 教授 发现 有 的 学生 总爱 坐 前排 有 的 则 盲目 随意 四处 都 坐 还有 一些 人 似乎 特别 钟情 后面 的 座位 ,  阅读 下面 材料 ， 按照 要求 作文 。 有个 教授 做过 一项 实验 ： 12 年前 ， 他 要求 他 的 学生 进入 一个 宽敞 的 大礼堂 ， 并 自由 找 座位 坐下 。 反复 几次 后 ， 教授 发现 的 有 学生 总爱 坐 前排 ， 有 的 则 ,2.0
因为 我们 是 为 人民 服务 的 所以 我们 如果 有 缺点 就 不怕 别人 批评 指出 不管 是 什么 人 谁 向 我们 指出 都行 只要 你 说得对 我们 就 改正 造句 ,"因为 所以 如果 就 不管 都 造句 仿照 下面 句子 . 因为 我们 是 为 人民 服务 的 , 所以 , 我们 如果 有 缺点 , 就 不怕 别人 批评 指出 . 不管 是 什么 人 , 谁 向 我们 指出 都行 . 只要 你 说 的 对 , 我们 就 ",2.0
宋朝 著名 文学家 范成大 ,宋朝 著名 文学家 范成大 到 海拔 3700m 的 峨眉山 上 旅游 ， 发现 山上 “ 煮 米 不成 饭 ” ． 他 认为 山上 的 泉水 太 寒冷 ， 故有 “ 万古 冰雪 之汁 ” 造成 之 说 ． 实际上 是因为 ， 现在 我们 使用 在 高山 上 做饭 ,2.0
"火力发电厂 释放 出 大量 的 氮氧化物 , 二氧化硫 和 二氧化碳 等 气体 会 对 环境 造成 严重 影响 。 ",火力发电厂 释放 出 的 大量 氮氧化物 （ NOx ） 、 二氧化硫 和 二氧化碳 等 气体 会 造成 环境污染 ． 对 燃烧 废气 进行 脱硝 、 脱碳 和 脱硫 等 处理 ， 可 实验 绿色 环保 、 节能 减排 、 废物利用 ． （ 1 ） 脱硝 ： 利用 甲烷 催化 还原 NOx ,2.0
一个 任意 力系 的 合力 矢是 主矢 ,一个 任意 力系 的 合力 矢是 主矢 么 ? 为什么 ,2.0
人们 根据 青蛙 的 眼睛 发明 了 什么 ,青蛙 的 眼睛 启示 人类 发明 了 什么 ,3.0
《 草原 》 的 作者 是 老舍 写 的 修改 病句 ,"修改 病句 1 . 《 草原 》 作者 是 老舍 写 的 . 答 ： 《 草原 》 作者 是 老舍 . 2 . 坚持 写日记 , 写作能力 就 会 提高 和 扩大 . 答 ： 坚持 写日记 , 写作能力 就 会 提高 . 3 . 这些 是 唐朝 出土 的 ",3.0
原电池 电动势 数据处理 ,原电池 电动势 的 影响 因素 有 什么 ? ,1.0
乙醇 能 与 溴化氢 反应 么 ,"乙醇 与 溴化氢 是否 反应 , 反应 方程式 是 什么 ? ",3.0
用 一根 细绳 一端 系住 一个 质量 为 m 的 小球 ,"用 一根 细绳 , 一端 系住 一个 质量 为 m 的 小球 , 另一端 悬在 光滑 水平 桌面 上方 h 处用 一根 细绳 , 一端 系住 一个 质量 为 m 的 小球 ， 另一端 悬在 光滑 水平 桌面 上方 h 处 ， 绳 长大 于 h ， 使 小球 在 桌面上 ",2.0
独自 在 街头 徘徊 是因为 ,"《 妈妈 的 礼物 》 阅读 题有 个 孩子 , 在 他 出生 的 那天 , 妈妈 就 离开 了 人世 . 从此 , 每当 看到 别人 从 妈妈 那儿 得到 礼物 , 就 非常 伤心 ： “ 啊 , 我 的 妈妈 , 竟 来不及 给 我 一件 礼物 . ",2.0
刘禹锡 与 柳宗元 、 白居易 并 称为 ,"刘禹锡 （ 772 — 842 年 ） , 唐代 文学家 、 哲学家 . 刘禹锡 以律 、 绝为工 , 乐府 小章 尤为 著名 . 嗯 哈 与 柳氏 , 庄园 的 . 他 与 柳宗元 、 白居易 郊游 唱和 , 并 称为 “ "" 与 “ ” . 白居易 称 ",3.0
说明 本次 地震 后 图示 区域 次生 地质灾害 严重 的 原因 ,如图所示 区域 地处 青藏高原 东部 边缘 的 断裂带 ， 2013 年 4 月 20 日 ， 这里 发生 了 7.0 级 强烈 地震 ， 2013 年 4 月 21 日夜 至 24 日 ， 震区 出现 多次 降雨 ， 本次 地震 后 ， 图示 区域 发生 了 严重 的 次生 地质灾害 ,2.0
有关 土地 的 成语 或 俗语 ,"有 关于 土地 的 成语 , 俗语 ",3.0
某 运输队 为 商店 运输 暖瓶 ,"某 运输队 为 商店 运输 暖瓶 500 箱 , 每箱 6 个 暖瓶 . 已知 每 10 个 暖瓶 的 运费 为 5.5 元 , 如果 损坏 一个 暖瓶 , 要 赔 成本 11.5 元 ( 这 只 暖瓶 的 运费 当然 得不到 ) , 结果 运输队 共 得到 1553.6 元 ",2.0
自然界 可以 充当 人类 老师 的 生物 ,自然界 可以 充当 人类 老师 的 生物 有 哪些 ,2.0
人们 在 地上 撒满 了 什么 花瓣 ,照 样子 ， 用 加粗 词语 写 句子 。 1 ． 人们 在 地上 撒满 了 凤凰花 的 花瓣 ， 好像 铺上 了 鲜红 的 地毯 。 2 ． 傣族 人民 一边 欢呼 ， 一   边 向 周总理 泼水 。 ,1.0
碳酸氢钠 与 氯化钙 反应 ,碳酸氢钠 与 氯化钙 反应 么 ,2.0
一项 工程 如 甲队 独做 可 六天 ,"有 一项 工程 , 甲 . 乙 两队 合作 4 天 完成 , 甲队 独做 六天 完成 , 乙队 独 做 全 工程 的 四分之一 要 多少 天 ",2.0
"平移 和 旋转 只 改变 图形 的 什么 , 不 改变 图形 的 什么 ","平移 和 旋转 都 只是 改变 了 图形 的 （ ) , 而 不 改变 图形 的 ( ) 和 （ ） ",3.0
人 固有 一死 或 重于泰山 或 轻于鸿毛 这句 话 出自 司马迁 的 ,"“ 人 固有 一死 , 或 重于泰山 , 或 轻于鸿毛 ” 是 出自 司马迁 的 ? ",3.0
区分 事物 量变 和 质变 的 根本 标志 ,区分 事物 发展 过程 中 量变 和 质变 的 根本 标志 是 ,3.0
发展 社会主义 民主 与 社会主义 法制 ,社会主义 民主 与 法制 的 辩证关系 ? ,1.0
"甲 乙丙 共同 加工 一批 零件 , 甲 加工 的 数量 是 乙丙 和 的 ","甲 乙丙 三人 共同 加工 一批 零件 , 甲 加工 的 零件 与 乙丙 两人 加工 的 零件 总数 的 比 是 1 ； 2 , 乙 加工 的 与 并 加工 的 比 是 2 ； 3 , 甲乙 两人 共 加工 600 个 , 这批 零件 共有 多少 ",2.0
稀释 浓硫酸 的 正确 操作 ,简述 稀释 浓硫酸 的 操作 ． ,2.0
微生物 生长 阶段 与 污水 生物 处理 ,如何 利用 微生物 的 间歇 培养 各 生长 阶段 特点 来 进行 污水 生物 处理 ,2.0
请 使用 对偶 的 修辞手法 ,对偶 是 一种 怎样 的 修辞手法 ,1.0
汤敦甫 在 京师 阅读 答案 ,"汤敦甫 在 京师 , 乘车 过 宣武门 大街 , 有 卖菜 翁弛 担坐 , 御者 勿触 之 , 菜 倾于 地 . 翁 捽 其 御者 , 詈 且 殴 , 索偿 菜值 . 公启 帘 问 曰 ： “ 值 几何 ? 我偿 汝 . ” 翁言钱 一贯 , 公揣 ",2.0
哪些 设计 是 为了 减小 摩擦力 ,火箭 设计 中 哪 一项 是 为了 减小 摩擦力 的 ? enemy ,2.0
下图 是 一张 未 完成 的 中国 古代 对外 交通路线 示意图 ,下图 是 一张 未 完成 的 中国 古代 对外 交通路线 示意图 。 根据 所学 知识 ， 可以 判断 与 该 图 对应 的 朝代 是 （ 　 ） A ． 西汉 B ． 唐朝 C ． 清朝 D ． 清朝 ,2.0
usually 和 always 的 区别 ,usually 和 always 的 区别 ,3.0
读 一本 好书 就是 在 和 高尚 的 人 谈话 的 理解 ,读 一本 好书 就是 在 和 高尚 的 人 谈话 的 意思 ,3.0
简单 又 普通 的 轴对称 图形 ,"普通 的 平行四边形 , 不是 轴对称 图形 , 但 四边 相等 的 平行四边形 , （ ） 是 轴对称 图形 , 有 几条 对称轴 . ",1.0
伊索 寓言 中 不少 内容 是 影射 当时 社会 现实 的 ,名著 阅读 内容 填空 。 （ 3 分 ） 小题 1 : 冰心 ， 这位 中国 现代 文学史 上 第一位 著名 女作家 ， 她 一 步入 文坛 ， 便 以 宣扬 “ 爱 的 哲学 ” 著称 。 而 ， 就是 “ 爱 的 哲学 ” 的 根本 出发点 。 小题 ,2.0
二氧化碳 是 酸性 还是 碱性 ,二氧化碳 是 酸性 还是 碱性 ,3.0
下列 物质 的 沸点 按 由 高到 低 的 顺序排列 正确 的 是 1 丙三醇 ,现有 四种 常见 的 醇 ： A ． 乙醇 B ． 乙二醇 C ． 1 - 丙醇 D ． 丙三醇 （ 1 ） 燃烧 相同 物质 的 量 上述 各醇 时 ， 消耗 氧气 的 量 最少 的 是 （ 填 字母 序号 ， 下同 ） ． （ 2 ） ,2.0
"马克思主义 哲学 认为 , 世界观 是 ",马克思主义 哲学 是 科学 的 世界观 与 方法论 的 理由 之一 是 : ,1.0
某校 为 初一 年级 学生 安排 宿舍 ,"某校 为 初一 年级 学生 安排 宿舍 ． 若 每间 宿舍 住 5 人 , 则 有 4 人住 不下 ； 若 每间 宿舍 住 6 人 , 则 有 一间 只住 4 人 , 且空 两间 宿舍 , 求该 年级 寄宿生 人数 及 宿舍 间 数 ． ( 初二 数学题 ",2.0
君不见 黄河 之水 天上 来 下 一句 ,"君不见 , 黄河 之水 天上 来 , 下 一句 ",3.0
如何 处理 改革 、 发展 与 稳定 的 关系 ? ,怎样 理解 和 正确处理 改革 、 发展 和 稳定 的 关系 ? ,3.0
根系 吸水能力 最大 区域 ,  下列 关于 根系 吸水 的 叙述 中 ， 错误 的 一项 是 （ 　 　 ）   A ． 根系 吸水 的 动力 有 根压 和 蒸腾 拉力 二种   B ． 根压 的 严生 是 由于 根部 细胞 的 渗透 作用 引起 的   C ． 土壤 的 温度 ,1.0
物质 是 标志 客观实在 的 哲学范畴 ,"物质 是 标志 客观实在 的 哲学范畴 , 换句话说 , 一切 客观实在 我们 都 可以 称之为 物质 是 吗 ? 1 . 时间 , 空间 都 不 以 人 的 意志 为 转移 ； 2 . 不以 人 意志 为 转移 的 都 是 客观实在 ； 3 . 物质 是 标志 客观实在 ",2.0
